# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.262,-2.750150,-2.029009,-133.737400,15.747980
0.263,-2.751108,-2.027294,-133.732600,15.807980
0.264,-2.752064,-2.025579,-133.727800,15.867980
0.265,-2.753018,-2.023862,-133.722900,15.927980
0.266,-2.753971,-2.022144,-133.718100,15.987980
0.267,-2.754922,-2.020425,-133.713300,16.047980
0.268,-2.755871,-2.018705,-133.708500,16.107980
0.269,-2.756818,-2.016984,-133.703700,16.167980
0.270,-2.757763,-2.015262,-133.698900,16.227980
0.271,-2.758707,-2.013540,-133.694000,16.287980
0.272,-2.759648,-2.011816,-133.689200,16.347980
0.273,-2.760588,-2.010091,-133.684400,16.407980
0.274,-2.761526,-2.008365,-133.679600,16.467980
0.275,-2.762462,-2.006638,-133.674700,16.527980
0.276,-2.763396,-2.004911,-133.669900,16.587980
0.277,-2.764329,-2.003183,-133.665100,16.647980
0.278,-2.765260,-2.001453,-133.660300,16.707980
0.279,-2.766188,-1.999723,-133.655500,16.767980
0.280,-2.767115,-1.997992,-133.650700,16.827980
0.281,-2.768039,-1.996261,-133.645800,16.887980
0.282,-2.768963,-1.994527,-133.641000,16.947980
0.283,-2.769884,-1.992793,-133.636200,17.007980
0.284,-2.770804,-1.991058,-133.631400,17.067980
0.285,-2.771722,-1.989322,-133.626600,17.127980
0.286,-2.772638,-1.987585,-133.621700,17.187980
0.287,-2.773551,-1.985848,-133.616900,17.247980
0.288,-2.774464,-1.984109,-133.612100,17.307980
0.289,-2.775374,-1.982369,-133.607300,17.367980
0.290,-2.776283,-1.980628,-133.602500,17.427980
0.291,-2.777189,-1.978887,-133.597600,17.487980
0.292,-2.778094,-1.977144,-133.592800,17.547980
0.293,-2.778997,-1.975402,-133.588000,17.607980
0.294,-2.779898,-1.973657,-133.583200,17.667970
0.295,-2.780797,-1.971912,-133.578400,17.727980
0.296,-2.781694,-1.970166,-133.573500,17.787980
0.297,-2.782590,-1.968419,-133.568700,17.847980
0.298,-2.783483,-1.966672,-133.563900,17.907980
