# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2555
# Generated: 2026-07-20 11:52:53
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740000,0.770000,-116.767000,113.485700,50

Time,X,Z,Theta1,Theta2
0.466,-0.927310,3.233333,-27.960000,25.751790
0.467,-0.929149,3.232420,-28.020000,25.807050
0.468,-0.930988,3.231506,-28.080000,25.862310
0.469,-0.932826,3.230590,-28.140000,25.917570
0.470,-0.934662,3.229673,-28.200000,25.972830
0.471,-0.936498,3.228753,-28.260000,26.028090
0.472,-0.938333,3.227832,-28.320000,26.083350
0.473,-0.940167,3.226908,-28.380000,26.138620
0.474,-0.942000,3.225984,-28.440000,26.193880
0.475,-0.943832,3.225057,-28.500000,26.249140
0.476,-0.945662,3.224128,-28.560000,26.304400
0.477,-0.947492,3.223198,-28.620000,26.359660
0.478,-0.949321,3.222266,-28.680000,26.414920
0.479,-0.951149,3.221332,-28.740000,26.470180
0.480,-0.952977,3.220397,-28.800000,26.525440
0.481,-0.954803,3.219459,-28.860000,26.580710
0.482,-0.956628,3.218520,-28.920000,26.635970
0.483,-0.958452,3.217579,-28.980000,26.691230
0.484,-0.960275,3.216636,-29.040000,26.746490
0.485,-0.962097,3.215691,-29.100000,26.801750
0.486,-0.963918,3.214745,-29.160000,26.857020
0.487,-0.965738,3.213797,-29.220000,26.912270
0.488,-0.967558,3.212847,-29.280000,26.967540
0.489,-0.969376,3.211895,-29.340000,27.022800
0.490,-0.971193,3.210942,-29.400000,27.078060
0.491,-0.973009,3.209987,-29.460000,27.133320
0.492,-0.974824,3.209030,-29.520000,27.188580
0.493,-0.976639,3.208071,-29.580000,27.243840
0.494,-0.978452,3.207110,-29.640000,27.299100
0.495,-0.980264,3.206148,-29.700000,27.354370
0.496,-0.982075,3.205184,-29.760000,27.409630
0.497,-0.983886,3.204218,-29.820000,27.464890
0.498,-0.985695,3.203250,-29.880000,27.520150
0.499,-0.987503,3.202281,-29.940000,27.575410
0.500,-0.989310,3.201310,-30.000000,27.630670
0.501,-0.991116,3.200337,-30.060000,27.685930
0.502,-0.992921,3.199362,-30.120000,27.741200
0.503,-0.994726,3.198386,-30.180000,27.796460
0.504,-0.996529,3.197407,-30.240000,27.851720
0.505,-0.998331,3.196428,-30.300000,27.906980
0.506,-1.000132,3.195446,-30.360000,27.962240
0.507,-1.001932,3.194462,-30.420000,28.017500
